title,industry,link
Microsoft helps Robert Walters create a modern workplace for a mobile workforce,,https://www.microsoft.com/en/customers/story/1414272576302528226-robertwalters
"Microsoft Azure Blob Storage provides flexible, economical storage for GE Healthcare’s medical imaging team",,https://www.microsoft.com/en/customers/story/1419851076011931732-ge-healthcare-health-provider-azure
"ERA Arqueologia manages projects, clients, and sales via the Microsoft cloud",,https://www.microsoft.com/en/customers/story/1421628795895272320-myPartner-ERA-microsoftcloud
Design Offices optimizes business processes and supports rapid growth with Dynamics 365,,https://www.microsoft.com/en/customers/story/1421822995521523423-design-offices-professional-services-dynamics-365
"Accela uses Microsoft Azure to help build and deliver its suite of modern, digital government services solutions",,https://www.microsoft.com/en/customers/story/1422315529492624529-accela-partner-professional-services-azure
Sumitomo supports diverse working styles and increases productivity with Surface devices and Windows Autopilot,,https://www.microsoft.com/en/customers/story/1422603787361605873-sumitomo-corporation-other-surface
Connecting to care: NHS Wales delivers healthcare innovation with the help of Microsoft 365,,https://www.microsoft.com/en/customers/story/1394078620569603702-nhs-wales-health-provider-m365
Eneco: fighting the climate crisis through smarter use of data,,https://www.microsoft.com/en/customers/story/1403930839102127358-eneco-energy-dynamics-365-en-netherlands
Calgary Counselling Centre’s rapid Microsoft Teams deployment delivers highly effective mental health care,,https://www.microsoft.com/en/customers/story/1440120688299074865-calgary-counselling-teams-canada
"GlaxoSmithKline enhances workplace resiliency, device management with Microsoft Endpoint Manager",,https://www.microsoft.com/en/customers/story/1448381711442947468-glaxosmithkline-pharmaceuticals-microsoft-endpoint-manager
"AccountabilIT reduces authentication friction for employees, increases market value with Azure Lighthouse",,https://www.microsoft.com/en/customers/story/1450512191075125804-accountabilit-professional-services-microsoft-lighthouse
"udaan accelerates its unicorn journey with Azure SQL Database, saves on infrastructure costs",,https://www.microsoft.com/en/customers/story/1452353468630817356-udaan-retailers-azure-sql-database
Japanese trading house takes advantage of SAP S/4HANA conversion to move to Azure,,https://www.microsoft.com/en/customers/story/1429422796087119817-inabata-partner-professional-services-azure-site-recovery
Collectius improves customer experience and productivity and supports growth through Dynamics 365 and Microsoft Power Pages,,https://www.microsoft.com/en/customers/story/1430031245545227119-collectius-microsoft-power-apps-en-philippines
“My Workplace” at Pöppelmann: Bringing the comfort and convenience of personal tech devices to the world of work with Microsoft 365,,https://www.microsoft.com/en/customers/story/1430463759840151268-poeppelmann-glueckanja-microsoft365-dynamics365-en
North Carolina Plant Sciences Initiative accelerates agricultural research with Azure and IoT,,https://www.microsoft.com/en/customers/story/1434573042027519248-ncsu-higher-education-azure-en-united-states
"Quorum bases its Cyber One solution on Microsoft Sentinel, easing and lifting security for customers like CountPlus",,https://www.microsoft.com/en/customers/story/1435310687711059601-countplus-professional-services-security
Ukraine’s Raiffeisen Bank Aval reshapes 2.5 million customers’ experience with Microsoft cloud solutions,,https://www.microsoft.com/en/customers/story/1346302367331746749-raiffeisen-bank-aval-banking-microsoft-365-en-ukraine
Kraft Heinz connects to its mission—and to its customers—with Microsoft Teams,,https://www.microsoft.com/en/customers/story/1369708912113613550-kraft-heinz-consumer-goods-microsoft365-en-united-states
Transformation to serve the community,,https://www.microsoft.com/en/customers/story/1372235251529486250-southend-on-sea
University of North Carolina at Charlotte uses Azure PaaS to bootstrap an EV charging solution,,https://www.microsoft.com/en/customers/story/1374046673401312344-university-of-north-carolina-at-charlotte-higher-education-azure-en-united-states
"Leading Slovenian insurer, Zavarovalnica Triglav, shifts 2,200 staff to Microsoft 365 Enterprise Voice in Teams",,https://www.microsoft.com/en/customers/story/1377224719811636297-zavarovalnica-triglav-insurance-microsoft-365-en-slovenia
"Mechanical moles, digitally tweaked: TRACTO uses telemetry data in Azure to offer customers real advantages",,https://www.microsoft.com/en/customers/story/1490037227462866519-tracto-azure-en
Calgary Counselling Centre’s rapid Microsoft Teams deployment delivers highly effective mental health care,,https://www.microsoft.com/en/customers/story/1440120688299074865-calgary-counselling-teams-canada
"GlaxoSmithKline enhances workplace resiliency, device management with Microsoft Endpoint Manager",,https://www.microsoft.com/en/customers/story/1448381711442947468-glaxosmithkline-pharmaceuticals-microsoft-endpoint-manager
"AccountabilIT reduces authentication friction for employees, increases market value with Azure Lighthouse",,https://www.microsoft.com/en/customers/story/1450512191075125804-accountabilit-professional-services-microsoft-lighthouse
"udaan accelerates its unicorn journey with Azure SQL Database, saves on infrastructure costs",,https://www.microsoft.com/en/customers/story/1452353468630817356-udaan-retailers-azure-sql-database
Slovakian banking leader Slovenská sporiteľňa empowers staff and clients with Microsoft 365,,https://www.microsoft.com/en/customers/story/1459394875888164889-slovenska-sporitelna-banking-capital-markets-microsoft-365-en-slovakia
Menzies Aviation empowers frontline staff with Microsoft Teams,,https://www.microsoft.com/en/customers/story/1461038994969165320-menziesaviation
Manufacturing group Dextra revamps customer relationships with Dynamics 365,,https://www.microsoft.com/en/customers/story/1468155020153021702-dextra-group-discrete-manufacturing-power-en-thailand
Accelerating healthcare research with Leidos and Azure confidential computing,,https://www.microsoft.com/en/customers/story/1470453106847487440-leidos-professional-services-security
Sunweb Group develops a range of self-service solutions to save customer holidays,,https://www.microsoft.com/en/customers/story/1477152214575056324-sunweb-retailers-azure-en-netherlands
Turning gas into cash: N-ERGIE’s virtual power plant based on Azure helps market electricity made from biogas,,https://www.microsoft.com/en/customers/story/1477261872975555769-n-ergie-azure-en
Microsoft Teams as part of the global energy transition: Wind energy specialist ENERCON reimagines collaboration,,https://www.microsoft.com/en/customers/story/1523676108593260538-enercon-glueckkanja-gab-microsoft365-en
Team Rubicon optimizes logistics and mobilizes more volunteers with Dynamics 365 Field Service,,https://www.microsoft.com/en/customers/story/1523704728275894394-team-rubicon-nonprofit-dynamics-365
Combining advanced technology and high-quality foods to address food deserts in underserved communities,,https://www.microsoft.com/en/customers/story/1529159960888382409-nourishandbloom-market-azure
OPAP empowers its partners’ agencies with Power BI Embedded,,https://www.microsoft.com/en/customers/story/1500189926928987722-opap-gaming-azure-en-greece
"Bekaert migrates virtual desktops to Azure, builds highly secure, agile, connected workplace",,https://www.microsoft.com/en/customers/story/1500598598798034830-bekaert-manufacturing-azure-virtual-desktop
Fujitsu delivers sustainable innovation and customer success with SAP on Azure,,https://www.microsoft.com/en/customers/story/1500898133497784546-fujitsu-partner-professional-services-sap-on-azure
Philippines’ Department of Education closes learning gap for young learners using Microsoft Teams,,https://www.microsoft.com/en/customers/story/1500934310482919585-department-of-education-national-government-microsoft-365-en-philippines
"Swiss Re Drives Deeper, Faster Insights with Azure Synapse Analytics and Power BI",,https://www.microsoft.com/en/customers/story/1504173266426719805-swissre-insurance
One system for everyone: Biologische Heilmittel Heel uses Dynamics 365 for customer management,,https://www.microsoft.com/en/customers/story/1506593550574754743-biologische-heilmittel-heel-gorelate-dynamics365-en
eClinicalWorks thrives in the cloud with Azure Virtual Machines and Azure Disk Storage,,https://www.microsoft.com/en/customers/story/1511398322448057370-eclinicalworks-azure-health-provider
The Bot Platform solution in Microsoft Teams makes for smooth sailing at Ports of Jersey,,https://www.microsoft.com/en/customers/story/1511765713532395431-ports-of-jersey-travel-transportation-microsoft-teams
Vietnamese food and beverage company improves system safety and speed,,https://www.microsoft.com/en/customers/story/1513354048240468841-urc-consumer-goods-azure-en-vietnam
"Rodobens delivers seamless digital experiences, safeguards financial data with Azure Active Directory",,https://www.microsoft.com/en/customers/story/1516477604709020822-rodobens-banking-capital-markets-microsoft-security-solutions
Magicrete gains a competitive edge by optimizing operations across departments using Microsoft solutions,,https://www.microsoft.com/en/customers/story/1521015775025532955-magicrete-consumer-goods-power-bi-en-india
Top insurer strengthens member care with Microsoft Cloud for Healthcare and Dynamics 365,,https://www.microsoft.com/en/customers/story/1559247231517407801-mvp-health-payor-cloud-for-healthcare
Modern internal corporate communication: GC GROUP relies on Microsoft Viva Connections,,https://www.microsoft.com/en/customers/story/1559633119606653513-gcgruppe-viva-en
Bank of Queensland reduces service desk calls and simplifies work with Microsoft Edge,,https://www.microsoft.com/en/customers/story/1569385677328633935-bank-of-queensland-banking-australia-microsoft-edge
Investment bank Drexel Hamilton boosts returns for customers and staff with migration to Microsoft 365,,https://www.microsoft.com/en/customers/story/1569737133192196912-drexel-hamilton-smb-m365
Numocity powers the global EV experience with Microsoft Azure,,https://www.microsoft.com/en/customers/story/1570985815044064415-numocity-professional-services-azure-en-india
WP Engine and Microsoft set example for open-source WordPress on Azure,,https://www.microsoft.com/en/customers/story/1571340644398422949-wp-engine-microsoft-set-example-open-source-wordpress-azure
"Company sold, succession secured: M&A consultancy AVANDIL manages complex company sales in the SME sector with Dynamics 365",,https://www.microsoft.com/en/customers/story/1571806074209235114-avandil-fellowmind-dynamics365-en
U.S. Bank invests in employee experience with Viva Connections in Microsoft Teams,,https://www.microsoft.com/en/customers/story/1572005957624077995-usbank-banking-viva-connections
"BPO American answers the call for a highly secure, easy to deploy Windows experience with Windows 365 Cloud PCs",,https://www.microsoft.com/en/customers/story/1572500782592654612-bpo-american-telecommunications-windows365
"Colas Group uses Power Platform to fuel innovation—and responsible, sustainable solutions",,https://www.microsoft.com/en/customers/story/1573776669737188634-colas-group-discrete-manufacturing-power-platform
"Animal Supply Company modernizes invoice processing with Neudesic’s Document Intelligence Platform, powered by Microsoft analytics and AI",,https://www.microsoft.com/en/customers/story/1574405316039819618-animal-supply-retailers-azure-en-united-states
